10 15
20 30
30 67
50 137
100 350
200 812
300 1384
500 2637
800 4200
900 4789
1000 5487
1500 9105
2000 12524
3000 19826
5000 36139
8000 60506
10000 78803
20000 168843
50000 467886
100000 1007502
