10 2.027
20 2.911
30 4.161
40 6.345
50 1.283
100 2.620
200 1.987
300 1.492
500 2.380
1000 1.779
2k  2.278
3k 2.750
5k 3.758
10k 2.694
20k 7.155
30k 7.603
50k 17.655
100k 48.934


